attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank
sex,demographic,ResNet50-ImageNet,Atelectasis,0.616978,0.617585,-0.000607,0.0788291055407928,0.0788291055407928,1.082019395149886,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Cardiomegaly,0.782652,0.78274,-8.8e-05,-0.0940599369974005,0.0940599369974005,0.91022820426025,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Consolidation,0.800031,0.796652,0.003379,0.2747962991139378,0.2747962991139378,1.316262523714864,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Edema,0.858816,0.858777,3.8e-05,0.0144939275747575,0.0144939275747575,1.0145994738532362,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.664323,0.665609,-0.001286,0.0378315051463293,0.0378315051463293,1.0385562267556403,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Lung Opacity,0.646126,0.646043,8.3e-05,0.0503474365556622,0.0503474365556622,1.0516364098427675,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Pleural Effusion,0.850925,0.851384,-0.00046,0.0421568052089204,0.0421568052089204,1.043058022859335,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Pneumonia,0.710925,0.710606,0.000319,0.142196743750504,0.142196743750504,1.1528034330980723,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Pneumothorax,0.672481,0.67174,0.000741,0.1428991384430347,0.1428991384430347,1.1536134405501774,109.3609803716064,0.0533989161970734,4.694654157002491
sex,demographic,ResNet50-ImageNet,Support Devices,0.680371,0.68024,0.000131,0.0343495538164269,0.0343495538164269,1.0349463129400267,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Atelectasis,0.616978,0.608935,0.008042,0.0082997915981176,0.0082997915981176,1.0083343303571106,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Cardiomegaly,0.782652,0.750706,0.031946,0.5927949816694053,0.5927949816694053,1.8090375828289464,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Consolidation,0.800031,0.795995,0.004037,0.0408048836500813,0.0408048836500813,1.0416488429960586,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Edema,0.858816,0.847328,0.011487,0.3451058427560672,0.3451058427560672,1.4121393764816168,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.664323,0.645484,0.01884,0.1977779105113957,0.1977779105113957,1.2186917051466384,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Lung Opacity,0.646126,0.630476,0.01565,0.125239135348246,0.125239135348246,1.1334194613192998,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Pleural Effusion,0.850925,0.829423,0.021502,0.6285128784075926,0.6285128784075926,1.8748204191976376,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Pneumonia,0.710925,0.709019,0.001906,0.0466756231290858,0.0466756231290858,1.047782077677937,109.3609803716064,0.0533989161970734,4.694654157002491
age,demographic,ResNet50-ImageNet,Pneumothorax,0.672481,0.679331,-0.006849,-0.1403442644903719,0.1403442644903719,0.869058997740351,109.3609803716064,0.0533989161970734,4.694654157002491
